prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,espn_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
pygc7b8218,Boyd,Matt,,1991,2,2,boydma01,,15440,571510,9087,boydma01,10011
pzxp7swn1r,Lee,Brooks,,2001,2,14,leebr02,,31595,686797,11740,leebr02,60266
q1563m03mr,Amaya,Miguel,,1999,3,9,amayami01,,21693,665804,10290,amayami01,11075
q1chk3rbaw,Romero,JoJo,,1996,9,9,romerjo01,,19574,668941,10528,romerjo01,10931
q5dhyyvdjw,Bryant,Kris,,1992,1,4,bryankr01,,15429,592178,8644,bryankr01,9558
q5jnjj216g,Conforto,Michael,,1993,3,1,confomi01,,16376,624424,8954,confomi01,9875
q61vgqj4zm,Raley,Luke,,1994,9,19,raleylu01,,19354,670042,10764,raleylu01,11348
q77pkgd2tc,Newman,Kevin,,1993,8,4,newmake01,,17696,621028,10078,newmake01,10564
q7t1hr9mq0,Suarez,Robert,,1991,3,1,suarero01,,30115,663158,11407,suarero01,12354
q7x0q4hqf8,Hernandez,Teoscar,,1992,10,15,hernate01,,13066,606192,9428,hernate01,10366
q9pq2qsyxm,Francis,Bowden,,1996,4,22,francbo01,,20548,670102,11130,francbo01,12085
qaetjmzeh0,Matthews,Zebby,,2000,5,22,matthze01,,31827,805673,12148,matthze01,63601
qb5fs3y5cr,Ashcraft,Graham,,1998,2,11,ashcrgr01,,27552,668933,11417,ashcrgr01,12392
qbs9thzgjm,Wilson,Bryse,,1997,12,20,wilsobr02,,19990,669060,10082,wilsobr02,10846
qbxa7hte24,Smith,Josh,,1997,8,7,smithjo11,,26396,669701,11441,smithjo11,12562
qcahwszv34,Cook,Billy,,1999,1,7,cookbi01,,29573,695257,12180,cookbi01,62430
qh8x9jd8nw,Kerkering,Orion,,2001,4,4,kerkeor01,,31776,689147,11876,kerkeor01,60329
qjq6mk8b1m,Machado,Manny,,1992,7,6,machama01,,11493,592518,7891,machama01,9111
qjxwwknbh0,Triolo,Jared,,1998,2,8,triolja01,,25807,669707,11668,triolja01,12758
qm48vdwwzg,Yorke,Nick,,2002,4,2,yorkeni01,,27504,694377,11145,yorkeni01,12123
qqvxht44n0,Stott,Bryson,,1997,10,6,stottbr01,,26294,681082,11086,stottbr01,11817
qr7veznrgr,Abbott,Andrew,,1999,6,1,abbotan01,,29911,671096,11802,abbotan01,12395
qrgp3e9tyw,Skubal,Tarik,,1996,11,20,skubata01,,22267,669373,10711,skubata01,11763
qsccwfvrsm,Zeferjahn,Ryan,,1998,2,28,zeferry01,,25420,666171,12164,zeferry01,61375
qtqajcbkz4,Steer,Spencer,,1997,12,7,steersp01,,26323,668715,11556,steersp01,12688
qwdxc7091c,Kochanowicz,Jack,,2000,12,22,kochaja01,,27688,686799,11967,kochaja01,11774
qz278pc9ag,Gray,Sonny,,1989,11,7,grayso01,,12768,543243,8546,grayso01,9459
qza3ph78e4,Semien,Marcus,,1990,9,17,semiema01,,12533,543760,8602,semiema01,9517
r16ek66vyc,Chisholm,Jazz,,1998,2,1,chishja01,,20454,665862,10231,chishja01,10839
r1ssh2367w,Arcia,Orlando,,1994,8,4,arciaor01,,13185,606115,8950,arciaor01,9871
r615784kdr,Henderson,Gunnar,,2001,6,29,hendegu01,,26289,683002,11108,hendegu01,11731
r8ah7kesfg,Stowers,Kyle,,1998,1,2,stoweky01,,26151,669065,11414,stoweky01,11733
r8q3t44xzw,Meyer,Max,,1999,3,12,meyerma01,,27474,676974,10832,meyerma01,12015
r9p13gzajw,Haase,Eric,,1992,12,18,haaseer01,,14111,606992,9831,haaseer01,11077
rc7xqsm3fr,Ramos,Heliot,,1999,9,7,ramoshe02,,22515,671218,10213,ramoshe01,10944
rcwswkcgjw,Moore,Dylan,,1992,8,2,mooredy01,,18042,664238,10444,mooredy01,11172
rdcgqgzt0r,Jobe,Jackson,,2002,7,30,jobeja01,,30203,695549,11897,jobeja01,12422
reh3cnzy08,Garcia,Adolis,,1993,3,2,garciad02,,19287,666969,9964,garciad02,11127
rh18ea3hp0,Irvin,Jake,,1997,2,18,irvinja01,,21504,663623,10976,irvinja01,11560
rmqx02jg0g,Fried,Max,,1994,1,18,friedma01,,13743,608331,8704,friedma01,9620
rsq51cj9sw,Oviedo,Johan,,1998,3,2,oviedjo01,,22487,670912,10892,oviedjo01,11838
rssqmxw6pc,Alcantara,Sandy,,1995,9,7,alcansa01,,18684,645261,9754,alcansa01,10597
rvav82056c,Arraez,Luis,,1997,4,9,arraelu01,,18568,650333,10481,arraelu01,11221
rydxfvb6g8,Jeffers,Ryan,,1997,6,3,jeffery01,,24618,680777,10946,jeffery01,11794
rzrz4zfyjr,Severino,Luis,,1994,2,20,severlu01,,15890,622663,8958,severlu01,9879
s3tx9dd770,Baez,Javier,,1992,12,1,baezja01,,12979,595879,8643,baezja01,9557
s57qqmxk0w,Martinez,Nick,,1990,8,5,martini01,,12730,607259,8748,martini01,9651
s624zgmwb0,Jansen,Kenley,,1987,9,30,janseke01,,3096,445276,7931,janseke01,8758
s6km39gtnc,Warren,Will,,1999,6,16,warrewi01,,30182,701542,11898,warrewi01,60295
s8nggd2t1c,Caballero,Jose,,1996,8,30,cabaljo01,,23401,676609,11786,cabaljo01,60776
sa8bdd8tgg,Snell,Blake,,1992,12,4,snellbl01,,13543,605483,9328,snellbl01,10148
satbtz9r9c,Norby,Connor,,2000,6,8,norbyco01,,29592,681393,11603,norbyco01,12370
sb9fc99vjm,Maton,Phil,,1993,3,25,matonph01,,18064,664208,9677,matonph01,10729
sefdbjjcfr,Giolito,Lucas,,1994,7,14,giolilu01,,15474,608337,8724,giolilu01,9640
seg16khyxr,Mikolas,Miles,,1988,8,23,mikolmi01,,9803,571945,9819,mikolmi01,9173
sgpt3nvvkc,Povich,Cade,,2000,4,12,povicca01,,30055,700249,11924,povicca01,60658
shdy1nz9r0,Kahnle,Tommy,,1989,8,7,kahnlto01,,11384,592454,8736,kahnlto01,9653
shxddswhkw,Wisely,Brett,,1999,5,8,wiselbr01,,27735,689172,11768,wiselbr01,12735
